Time [s],Channel 0,Channel 1,SDA_O,SDA_T,SCL_O,SCL_T,ena,busy
-2.102346375,1,1,0,1,0,1,0,0
-2.102304667,1,1,0,1,1,1,0,0
-2.102263000,1,1,0,1,0,1,0,0
-2.102221292,1,1,0,1,1,1,0,0
-2.102179625,1,1,0,1,0,1,0,0
-2.102137958,1,1,0,1,1,1,0,0
-2.102096250,1,1,0,1,0,1,0,0
-2.102054583,1,1,0,1,1,1,0,0
-2.102012917,1,1,0,1,0,1,0,0
-2.101971208,1,1,0,1,1,1,0,0
-2.101929542,1,1,0,1,0,1,0,0
-2.101887833,1,1,0,1,1,1,0,0
-2.101846167,1,1,0,1,0,1,0,0
-2.101804500,1,1,0,1,1,1,0,0
-2.101762792,1,1,0,1,0,1,0,0
-2.101721125,1,1,0,1,1,1,0,0
-2.101679417,1,1,0,1,0,1,0,0
-2.101637750,1,1,0,1,1,1,0,0
-2.101596083,1,1,0,1,0,1,0,0
-2.101554375,1,1,0,1,1,1,0,0
-2.101512708,1,1,0,1,0,1,0,0
-2.101471042,1,1,0,1,1,1,0,0
-2.101429333,1,1,0,1,0,1,0,0
-2.101387667,1,1,0,1,1,1,0,0
-2.101345958,1,1,0,1,0,1,0,0
-2.101304292,1,1,0,1,1,1,0,0
-2.101262625,1,1,0,1,0,1,0,0
-2.101220917,1,1,0,1,1,1,0,0
-2.101179250,1,1,0,1,0,1,0,0
-2.101137583,1,1,0,1,1,1,0,0
-2.101095875,1,1,0,1,0,1,0,0
-2.101054208,1,1,0,1,1,1,0,0
-2.101012500,1,1,0,1,0,1,0,0
-2.100970833,1,1,0,1,1,1,0,0
-2.100929167,1,1,0,1,0,1,0,0
-2.100887458,1,1,0,1,1,1,0,0
-2.100845792,1,1,0,1,0,1,0,0
-2.100804083,1,1,0,1,1,1,0,0
-2.100762417,1,1,0,1,0,1,0,0
-2.100720750,1,1,0,1,1,1,0,0
-2.100679042,1,1,0,1,0,1,0,0
-2.100637375,1,1,0,1,1,1,0,0
-2.100595708,1,1,0,1,0,1,0,0
-2.100554000,1,1,0,1,1,1,0,0
-2.100512333,1,1,0,1,0,1,0,0
-2.100470625,1,1,0,1,1,1,0,0
-2.100428958,1,1,0,1,0,1,0,0
-2.100387292,1,1,0,1,1,1,0,0
-2.100345583,1,1,0,1,0,1,0,0
-2.100303917,1,1,0,1,1,1,0,0
-2.100262208,1,1,0,1,0,1,0,0
-2.100220542,1,1,0,1,1,1,0,0
-2.100178875,1,1,0,1,0,1,0,0
-2.100137167,1,1,0,1,1,1,0,0
-2.100095500,1,1,0,1,0,1,0,0
-2.100053833,1,1,0,1,1,1,0,0
-2.100012125,1,1,0,1,0,1,0,0
-2.099970458,1,1,0,1,1,1,0,0
-2.099928750,1,1,0,1,0,1,0,0
-2.099887083,1,1,0,1,1,1,0,0
-2.099845417,1,1,0,1,0,1,0,0
-2.099803708,1,1,0,1,1,1,0,0
-2.099762042,1,1,0,1,0,1,0,0
-2.099720375,1,1,0,1,1,1,0,0
-2.099678667,1,1,0,1,0,1,0,0
-2.099637000,1,1,0,1,1,1,0,0
-2.099595292,1,1,0,1,0,1,0,0
-2.099553625,1,1,0,1,1,1,0,0
-2.099511958,1,1,0,1,0,1,0,0
-2.099470250,1,1,0,1,1,1,0,0
-2.099428583,1,1,0,1,0,1,0,0
-2.099386875,1,1,0,1,1,1,0,0
-2.099345208,1,1,0,1,0,1,0,0
-2.099303542,1,1,0,1,1,1,0,0
-2.099261833,1,1,0,1,0,1,0,0
-2.099220167,1,1,0,1,1,1,0,0
-2.099178500,1,1,0,1,0,1,0,0
-2.099136792,1,1,0,1,1,1,0,0
-2.099095125,1,1,0,1,0,1,0,0
-2.099053417,1,1,0,1,1,1,0,0
-2.099011750,1,1,0,1,0,1,0,0
-2.098970083,1,1,0,1,1,1,0,0
-2.098928375,1,1,0,1,0,1,0,0
-2.098886708,1,1,0,1,1,1,0,0
-2.098845000,1,1,0,1,0,1,0,0
-2.098803333,1,1,0,1,1,1,0,0
-2.098761667,1,1,0,1,0,1,0,0
-2.098719958,1,1,0,1,1,1,0,0
-2.098678292,1,1,0,1,0,1,0,0
-2.098636625,1,1,0,1,1,1,0,0
-2.098594917,1,1,0,1,0,1,0,0
-2.098553250,1,1,0,1,1,1,0,0
-2.098511542,1,1,0,1,0,1,0,0
-2.098469875,1,1,0,1,1,1,0,0
-2.098428208,1,1,0,1,0,1,0,0
-2.098386500,1,1,0,1,1,1,0,0
-2.098344833,1,1,0,1,0,1,0,0
-2.098303125,1,1,0,1,1,1,0,0
-2.098261458,1,1,0,1,0,1,0,0
-2.098219792,1,1,0,1,1,1,0,0
-2.098178083,1,1,0,1,0,1,0,0
-2.098136417,1,1,0,1,1,1,0,0
-2.098094750,1,1,0,1,0,1,0,0
-2.098053042,1,1,0,1,1,1,0,0
-2.098011375,1,1,0,1,0,1,0,0
-2.097969667,1,1,0,1,1,1,0,0
-2.097928000,1,1,0,1,0,1,0,0
-2.097886333,1,1,0,1,1,1,0,0
-2.097844625,1,1,0,1,0,1,0,0
-2.097802958,1,1,0,1,1,1,0,0
-2.097761292,1,1,0,1,0,1,0,0
-2.097719583,1,1,0,1,1,1,0,0
-2.097677917,1,1,0,1,0,1,0,0
-2.097636208,1,1,0,1,1,1,0,0
-2.097594542,1,1,0,1,0,1,0,0
-2.097552875,1,1,0,1,1,1,0,0
-2.097511167,1,1,0,1,0,1,0,0
-2.097469500,1,1,0,1,1,1,0,0
-2.097427792,1,1,0,1,0,1,0,0
-2.097386125,1,1,0,1,1,1,0,0
-2.097344458,1,1,0,1,0,1,0,0
-2.097302750,1,1,0,1,1,1,0,0
-2.097261083,1,1,0,1,0,1,0,0
-2.097219417,1,1,0,1,1,1,0,0
-2.097177708,1,1,0,1,0,1,0,0
-2.097136042,1,1,0,1,1,1,0,0
-2.097094333,1,1,0,1,0,1,0,0
